BF,dataset,dim,size,nonlinearity,mean,harmonic_mean,standard_deviation,median,MSE_PRSM_1,RMSE_PRSM_1,MAE_PRSM_1,MSE_PRSM_2,RMSE_PRSM_2,MAE_PRSM_2,gradient1,gradient2,gradient3,gradient4
BF37,BF37_1,5,42,0.759149005,3.07E-16,0.684204094,1,0.090677147,0.941990798,0.970562104,0.794341391,1.55E-30,1.24E-15,9.62E-16,-0.02590298,0.045943477,0.416636822,0.004144834
BF37,BF37_2,5,84,0.725812428,9.68E-17,0.228787316,1,-0.096400558,0.924821175,0.961676232,0.830135032,4.52E-30,2.13E-15,1.79E-15,0.040352845,0.067362764,0.383542868,0.010680806
BF37,BF37_3,5,126,0.843184367,6.24E-16,-1.738489173,1,-0.090735699,0.975408857,0.987627894,0.800950587,2.70E-30,1.64E-15,1.30E-15,-0.011382303,0.014722786,0.343558683,0.000651604
BF37,BF37_4,5,168,0.846019599,1.00E-16,-11.63100965,1,-0.051218154,0.976290036,0.988073902,0.801981149,3.73E-30,1.93E-15,1.61E-15,0.002619586,0.017130959,0.286274867,0.000568669
BF37,BF37_5,5,210,0.861554163,-3.51E-16,0.977053984,1,-0.041303744,0.98083275,0.990370007,0.809643395,5.71E-30,2.39E-15,1.88E-15,-0.007315898,0.006217264,0.283671557,0.000112572
BF37,BF37_6,5,252,0.942706029,-1.71E-16,1.457909869,1,-0.117904144,0.996717401,0.998357351,0.813143209,2.56E-30,1.60E-15,1.19E-15,0.01675026,0.017181084,0.278661496,0.000935579
BF37,BF37_7,5,294,0.920270076,-2.96E-16,19.83563168,1,-0.085151754,0.993643139,0.996816502,0.786644124,5.65E-30,2.38E-15,1.91E-15,0.001675194,0.008081893,0.290935862,0.000175802
BF37,BF37_8,5,336,0.870730895,2.80E-16,1.030478338,1,0.00798253,0.983289499,0.991609549,0.783452465,3.37E-30,1.83E-15,1.42E-15,0.003201485,0.00603758,0.290613378,7.38E-05
BF37,BF37_9,5,378,0.825355755,6.06E-16,2.989063071,1,-0.053159751,0.969499388,0.9846316,0.804016138,2.63E-30,1.62E-15,1.23E-15,0.005520345,0.023671293,0.271752966,0.00079253
BF37,BF37_10,5,420,0.869092768,3.68E-16,0.850164389,1,0.018562631,0.982863297,0.991394622,0.806600489,2.10E-30,1.45E-15,1.17E-15,-0.00760319,0.012121032,0.257329549,0.000475495
BF38,BF38_1,8,90,0.72972674,-3.19E-16,0.456747197,1,0.040079693,0.926952365,0.962783654,0.727407855,3.33E-30,1.82E-15,1.35E-15,0.018136744,0.053430748,0.484257628,0.003749633
BF38,BF38_2,8,180,0.819690217,-3.26E-16,-0.03303763,1,-0.000478391,0.967488382,0.983609873,0.782474086,3.67E-30,1.92E-15,1.42E-15,-0.014879009,0.025766334,0.378445722,0.001538132
BF38,BF38_3,8,270,0.839688076,-1.71E-16,16.83184688,1,-0.11384035,0.974300087,0.987066405,0.814130608,7.26E-30,2.69E-15,2.12E-15,-0.010360066,0.018493841,0.402843131,0.001103905
